asset_id,asset_type,state,constituency,synthetic_latitude,synthetic_longitude,asset_status,installation_year,condition,synthetic
AST-0001,Public Toilet Complex,Gujarat,SURAT,31.41642,72.06034,ACTIVE,2024,FAIR,TRUE
AST-0002,Public Toilet Complex,Karnataka,HAVERI,9.16524,76.82126,DECOMMISSIONED,2019,FAIR,TRUE
AST-0003,Bridge / Culvert,Uttar Pradesh,JAUNPUR,18.20949,84.23474,DECOMMISSIONED,2017,GOOD,TRUE
AST-0004,Health Sub-Center,Bihar,JHANJHARPUR,24.41105,69.15951,INACTIVE,2011,POOR,TRUE
AST-0005,Bridge / Culvert,Kerala,ALAPPUZHA,22.08319,94.65469,ACTIVE,2012,POOR,TRUE
AST-0006,Public Toilet Complex,Bihar,JHANJHARPUR,27.75871,89.01645,INACTIVE,2016,GOOD,TRUE
AST-0007,Public Park,Gujarat,SURAT,22.70603,69.74983,ACTIVE,2016,CRITICAL,TRUE
AST-0008,Health Sub-Center,Bihar,GAYA,27.34734,77.02099,ACTIVE,2020,CRITICAL,TRUE
AST-0009,Drainage Line,Uttar Pradesh,JAUNPUR,19.12872,81.78158,ACTIVE,2016,FAIR,TRUE
AST-0010,Bridge / Culvert,Maharashtra,NASHIK,30.46145,71.63983,ACTIVE,2024,POOR,TRUE
AST-0011,Drainage Line,Maharashtra,AMRAVATI(SC),14.68165,90.11201,ACTIVE,2017,GOOD,TRUE
AST-0012,Library,Bihar,JHANJHARPUR,16.65632,88.61478,ACTIVE,2020,POOR,TRUE
AST-0013,Public Toilet Complex,Punjab,LUDHIANA,28.66154,71.23943,DECOMMISSIONED,2006,POOR,TRUE
AST-0014,School Building,Madhya Pradesh,GUNA,19.84887,74.52626,UNDER_MAINTENANCE,2005,FAIR,TRUE
AST-0015,Borewell,Bihar,JHANJHARPUR,26.93067,82.92473,INACTIVE,2016,POOR,TRUE
AST-0016,Water Tank,Odisha,CUTTACK,18.83813,90.71431,ACTIVE,2024,FAIR,TRUE
AST-0017,Library,Maharashtra,NASHIK,22.26245,76.5897,ACTIVE,2006,POOR,TRUE
AST-0018,Community Hall,Rajasthan,RAJSAMAND,16.49556,89.86711,ACTIVE,2021,CRITICAL,TRUE
AST-0019,Borewell,Odisha,CUTTACK,15.40274,83.86113,ACTIVE,2012,GOOD,TRUE
AST-0020,Bus Shelter,Karnataka,HAVERI,12.9279,76.03992,ACTIVE,2010,FAIR,TRUE
AST-0021,Public Park,Rajasthan,RAJSAMAND,22.75674,93.56607,UNDER_MAINTENANCE,2019,CRITICAL,TRUE
AST-0022,Borewell,Uttar Pradesh,JAUNPUR,26.12393,80.66675,ACTIVE,2014,CRITICAL,TRUE
AST-0023,Library,Odisha,CUTTACK,27.89653,92.69008,INACTIVE,2011,POOR,TRUE
AST-0024,Road Segment,Gujarat,SURAT,19.54614,85.9942,ACTIVE,2015,CRITICAL,TRUE
AST-0025,Water Tank,Bihar,GAYA,16.09519,83.47693,ACTIVE,2014,GOOD,TRUE
AST-0026,Road Segment,Tamil Nadu,VIRUDHUNAGAR,16.84828,96.49138,INACTIVE,2006,POOR,TRUE
AST-0027,Drainage Line,Bihar,GAYA,26.24938,69.21575,ACTIVE,2015,GOOD,TRUE
AST-0028,Public Toilet Complex,Gujarat,SURAT,17.86807,80.42954,ACTIVE,2007,FAIR,TRUE
AST-0029,Streetlight Cluster,Telangana,WARANGAL,11.13411,77.91991,INACTIVE,2012,POOR,TRUE
AST-0030,Community Hall,Bihar,GAYA,25.92748,71.92403,ACTIVE,2012,FAIR,TRUE
AST-0031,Bus Shelter,Bihar,GAYA,20.92631,83.74052,ACTIVE,2008,GOOD,TRUE
AST-0032,Drainage Line,Maharashtra,NASHIK,18.73198,76.9666,ACTIVE,2019,FAIR,TRUE
AST-0033,Public Toilet Complex,Bihar,JHANJHARPUR,25.85789,74.49034,ACTIVE,2009,POOR,TRUE
AST-0034,Bridge / Culvert,Maharashtra,AMRAVATI(SC),24.4662,95.33259,ACTIVE,2011,POOR,TRUE
AST-0035,Public Park,Bihar,JHANJHARPUR,8.8956,68.66363,ACTIVE,2009,FAIR,TRUE
AST-0036,Drainage Line,Maharashtra,AMRAVATI(SC),26.01293,79.07331,INACTIVE,2011,FAIR,TRUE
AST-0037,Health Sub-Center,Odisha,CUTTACK,28.00877,80.99434,ACTIVE,2024,GOOD,TRUE
AST-0038,Public Toilet Complex,Bihar,GAYA,28.36689,82.23822,ACTIVE,2018,GOOD,TRUE
AST-0039,Public Park,Odisha,CUTTACK,30.37904,92.23931,INACTIVE,2017,FAIR,TRUE
AST-0040,School Building,Maharashtra,NASHIK,16.09495,93.38631,ACTIVE,2023,POOR,TRUE
AST-0041,Bridge / Culvert,Telangana,WARANGAL,22.19332,74.47843,ACTIVE,2008,POOR,TRUE
AST-0042,Bus Shelter,Bihar,GAYA,23.77631,91.24896,INACTIVE,2009,FAIR,TRUE
AST-0043,Sports Ground,Uttar Pradesh,JAUNPUR,30.40982,86.05576,UNDER_MAINTENANCE,2019,FAIR,TRUE
AST-0044,Sports Ground,Odisha,CUTTACK,14.54015,79.92454,DECOMMISSIONED,2025,POOR,TRUE
AST-0045,Public Toilet Complex,Gujarat,SURAT,27.43068,74.34472,UNDER_MAINTENANCE,2016,GOOD,TRUE
AST-0046,Health Sub-Center,Punjab,LUDHIANA,26.12081,84.03241,ACTIVE,2018,FAIR,TRUE
AST-0047,Road Segment,Maharashtra,NASHIK,11.98156,72.03578,DECOMMISSIONED,2025,POOR,TRUE
AST-0048,Public Park,Tamil Nadu,ERODE,26.31176,90.30531,ACTIVE,2007,CRITICAL,TRUE
AST-0049,Library,Bihar,GAYA,17.12967,70.65504,ACTIVE,2022,GOOD,TRUE
AST-0050,Sports Ground,Gujarat,SURAT,25.72295,94.86452,ACTIVE,2019,POOR,TRUE
AST-0051,Sports Ground,Kerala,ALAPPUZHA,11.67154,93.09508,DECOMMISSIONED,2018,POOR,TRUE
