request_id,citizen_need_text,need_category,state,constituency,linked_work_id,status,created_at,data_origin
CREQ-0097,"The suggestion describes there is no community hall available for local gatherings and government camps in the market area, with an estimated 45 families affected during peak usage hours.",Community hall,Gujarat,SURAT,,CLOSED_NOT_TAKEN_UP,2025-06-16,SYNTHETIC_DEMO
CREQ-0046,"Community members in Ward 3 flagged that garbage collection is irregular and waste accumulates near residential areas, and requested that the MP consider sanctioning solid waste management works in the area.",Solid waste management,Punjab,LUDHIANA,,MP_REVIEW,2025-06-19,SYNTHETIC_DEMO
CREQ-0074,"The suggestion describes the nearest functional handpump is over a kilometre from several households in the industrial estate road, with an estimated 90 families affected during peak usage hours.",Handpump / borewell installation,Maharashtra,NASHIK,,SUBMITTED,2025-06-19,SYNTHETIC_DEMO
CREQ-0129,"A citizen suggestion notes that the internal road repair in the railway colony has not been upgraded in several years, and the internal road remains unpaved and becomes waterlogged during monsoon.",Internal road repair,Uttar Pradesh,JAUNPUR,,MP_REVIEW,2025-06-23,SYNTHETIC_DEMO
CREQ-0081,"Community members in the railway colony flagged that several stretches of the main road remain unlit after dusk, creating safety concerns, and requested that the MP consider sanctioning street lighting works in the area.",Street lighting,West Bengal,HOWRAH,,RECOMMENDATION_CREATED,2025-06-28,SYNTHETIC_DEMO
CREQ-0080,"Community members in Ward 5 flagged that there is no reading room or library facility accessible to students in the area, and requested that the MP consider sanctioning public library works in the area.",Public library,Punjab,LUDHIANA,,SUBMITTED,2025-06-29,SYNTHETIC_DEMO
CREQ-0060,"Community members in the railway colony flagged that the existing water supply point runs dry for several hours a day during summer months, and requested that the MP consider sanctioning drinking water supply works in the area.",Drinking water supply,Rajasthan,RAJSAMAND,,NEED_IDENTIFICATION,2025-07-05,SYNTHETIC_DEMO
CREQ-0104,"A citizen suggestion notes that the public toilet complex in the eastern colony has not been upgraded in several years, and there is no public toilet facility near the market area.",Public toilet complex,Madhya Pradesh,GUNA,,SUBMITTED,2025-07-06,SYNTHETIC_DEMO
CREQ-0112,"Residents of the the market area area report that there is no maintained playground or sports ground for local youth, affecting daily commute and access to essential services for roughly 25 households.",Sports facility,Maharashtra,AMRAVATI(SC),,MP_REVIEW,2025-07-12,SYNTHETIC_DEMO
CREQ-0066,"Residents of the the market area area report that open drains overflow onto the roadway during heavy rainfall, affecting daily commute and access to essential services for roughly 70 households.",Drainage system,Bihar,GAYA,,RECOMMENDATION_CREATED,2025-07-13,SYNTHETIC_DEMO
CREQ-0032,"A grievance was submitted describing how several stretches of the main road remain unlit after dusk, creating safety concerns, particularly affecting students and elderly residents in the eastern colony.",Street lighting,Tamil Nadu,VIRUDHUNAGAR,,RECOMMENDATION_CREATED,2025-07-15,SYNTHETIC_DEMO
CREQ-0058,"A grievance was submitted describing how the culvert connecting the two hamlets is damaged and unsafe during monsoon, particularly affecting students and elderly residents in the outskirts hamlet.",Bridge / culvert repair,Tamil Nadu,ARAKKONAM,,MP_REVIEW,2025-07-15,SYNTHETIC_DEMO
CREQ-0125,"Residents of the the eastern colony area report that commuters have no shelter at the bus stop during rain or peak summer heat, affecting daily commute and access to essential services for roughly 70 households.",Bus shelter,Madhya Pradesh,GUNA,,RECOMMENDATION_CREATED,2025-07-19,SYNTHETIC_DEMO
CREQ-0040,"Residents of the the old town area area report that the nearest health sub-center is several kilometres away with limited operating hours, affecting daily commute and access to essential services for roughly 70 households.",Public health sub-center,Rajasthan,JHUNJHUNU,,NEED_IDENTIFICATION,2025-07-20,SYNTHETIC_DEMO
CREQ-0056,"A citizen suggestion notes that the public library in Sector 2 has not been upgraded in several years, and there is no reading room or library facility accessible to students in the area.",Public library,Rajasthan,RAJSAMAND,,SUGGESTED_WORK_IDENTIFIED,2025-07-23,SYNTHETIC_DEMO
