work_id,state,constituency,work_category,work_description,lifecycle_mode,overall_risk,risk_band,primary_risk_component,secondary_risk_component,primary_reason_title,primary_reason_summary,why_it_matters,recommended_verification,confidence_or_data_availability_note,recommended_amount,sanctioned_amount,total_expenditure,expenditure_to_sanction_ratio,expenditure_event_count,peer_metric_name,peer_level,peer_group_size,peer_median,peer_mean,peer_percentile,peer_deviation,peer_comparison_text,recommendation_date,sanction_date,completion_date,implementation_duration_days,peer_duration_median,duration_deviation,timeline_comparison_text,technical_signal,technical_metric,technical_value,technical_threshold,technical_component,technical_component_contribution,available_financial_information,available_lifecycle_information,available_completion_information,data_quality_note,recommended_action_title,recommended_action_steps
WS/MP383/2024-2025/11215,Rajasthan,RAJSAMAND,Normal/Others,Construction of community hall in Jud Ki badli Gram Panchayat - Soonkhar,IN_PROGRESS,96.25,CRITICAL,Deterministic compliance rule,ML anomaly model (atypical combination of characteristics),Unusual expenditure as a share of the sanctioned amount compared with the overall portfolio,"This work's expenditure as a share of the sanctioned amount is 23.8%. Across the overall portfolio of comparable-stage works, this is lower than typical (around the 4.6th percentile).","This work is currently in progress (sanctioned, but not yet marked completed). Extreme values relative to the overall dataset warrant a look, though several MPLADS ratios cluster tightly around typical values — which can make even modest real-world differences appear statistically extreme.",1. Review the flagged figure against supporting documentation. | 2. Compare against comparable works before concluding the value is unusual.,Conflicting values exist across source records for this work; Some contributing source records for this work could not be fully resolved.,500000.0,500000.0,118820.0,0.23764,10.0,expenditure as a share of the sanctioned amount,"same work category, state, and constituency",21.0,0.24,0.4181874460479708,0.4761904761904761,-0.0098333333333333,"This work: 23.8%. Comparable works (same work category, state, and constituency, n=21): median 24.0%, mean 41.8%. That is 0.2 percentage points below the peer median, at the 47.6th percentile among comparable works.",2023-08-19,2024-12-09,,625.0,,,"This work has been in sanctioned/in-progress status for approximately 625 days so far. No official planned/expected completion date is available in the source data, so this is elapsed time, not a delay determination.",RULE-015,expenditure_to_sanction_ratio,50.0,3.5,rule_risk_component,35.0,"Recommended amount, sanctioned amount, total expenditure on file.",Recommended on 2023-08-19; sanctioned on 2024-12-09. Work status on file: Work partially Completed.,Not marked completed; no completion record on file.,Conflicting values exist across source records for this work; Some contributing source records for this work could not be fully resolved.,Verify flagged figures,1. Review the flagged figure against supporting documentation. | 2. Compare against comparable works before concluding the value is unusual.
WS/MP383/2024-2025/11216,Rajasthan,RAJSAMAND,Normal/Others,Construction of community hall near Rajput basti in Aamcha ki Bhagal Gram Panchayat - Manawation ka Gurha,IN_PROGRESS,95.13574126534466,CRITICAL,Deterministic compliance rule,ML anomaly model (atypical combination of characteristics),Unusual expenditure as a share of the sanctioned amount compared with the overall portfolio,"This work's expenditure as a share of the sanctioned amount is 18.8%. Across the overall portfolio of comparable-stage works, this is lower than typical (around the 3.7th percentile).","This work is currently in progress (sanctioned, but not yet marked completed). Extreme values relative to the overall dataset warrant a look, though several MPLADS ratios cluster tightly around typical values — which can make even modest real-world differences appear statistically extreme.",1. Review the flagged figure against supporting documentation. | 2. Compare against comparable works before concluding the value is unusual.,Conflicting values exist across source records for this work; Some contributing source records for this work could not be fully resolved.,500000.0,500000.0,94050.0,0.1881,8.0,expenditure as a share of the sanctioned amount,"same work category, state, and constituency",21.0,0.24,0.4181874460479708,0.2857142857142857,-0.21625,"This work: 18.8%. Comparable works (same work category, state, and constituency, n=21): median 24.0%, mean 41.8%. That is 5.2 percentage points below the peer median, at the 28.6th percentile among comparable works.",2023-08-19,2024-12-09,,625.0,,,"This work has been in sanctioned/in-progress status for approximately 625 days so far. No official planned/expected completion date is available in the source data, so this is elapsed time, not a delay determination.",RULE-015,expenditure_to_sanction_ratio,50.0,3.5,rule_risk_component,35.0,"Recommended amount, sanctioned amount, total expenditure on file.",Recommended on 2023-08-19; sanctioned on 2024-12-09. Work status on file: Work Completed.,Not marked completed; no completion record on file.,Conflicting values exist across source records for this work; Some contributing source records for this work could not be fully resolved.,Verify flagged figures,1. Review the flagged figure against supporting documentation. | 2. Compare against comparable works before concluding the value is unusual.
WS/MP761/2025-2026/153958,Telangana,NIZAMABAD,Normal/Others,Construction of Additional classroom in Saraswathi Shishumandir near IB Road guest house,POST_COMPLETION,88.63087023939076,CRITICAL,Deterministic compliance rule,Peer comparison,Unusual time from recommendation to sanction compared with similar works,"This work's time from recommendation to sanction stands out from comparable works. This work: 371 days. Comparable works (same work category, state, and constituency, n=309): median 29 days, mean 107 days. That is about 12.8× the peer median (above it), at the 89.6th percentile among comparable works.","This work has been recorded as completed. Financial or count anomalies relative to comparable works can have a legitimate explanation (e.g. phased projects, larger scope) but should be confirmed against documentation.",1. Compare this work with peer works of the same category/state/constituency. | 2. Verify the underlying financial/payment documentation.,The parliamentary term for this work's record could not be determined.,495000.0,495000.0,440101.0,0.8890929292929293,1.0,time from recommendation to sanction,"same work category, state, and constituency",309.0,29.0,107.0064724919094,0.8964401294498382,11.79310344827586,"This work: 371 days. Comparable works (same work category, state, and constituency, n=309): median 29 days, mean 107 days. That is about 12.8× the peer median (above it), at the 89.6th percentile among comparable works.",2024-11-22,2025-11-28,2025-11-29,1.0,1.5,-0.3333333333333333,"This work: 1 days. Comparable works (same work category, state, and constituency, n=326): median 2 days, mean 56 days. That is about 0.7× the peer median (below it), at the 43.9th percentile among comparable works.",RULE-014,rec_sanction_duration,8.872147682345984,3.5,rule_risk_component,35.0,"Recommended amount, sanctioned amount, total expenditure on file.",Recommended on 2024-11-22; sanctioned on 2025-11-28. Work status on file: Work Completed.,"Completed on 2025-11-29, with ₹440,101 disbursed at completion.",The parliamentary term for this work's record could not be determined.,Compare with peer works,1. Compare this work with peer works of the same category/state/constituency. | 2. Verify the underlying financial/payment documentation.
WS/MP18137/2025-2026/162033,Meghalaya,SHILLONG,Normal/Others,Financial aid to St. Marys Higher Secondary School for the construction of an additional classroom for 11 and 12.,POST_COMPLETION,87.85714285714285,CRITICAL,Deterministic compliance rule,Peer comparison,Unusual expenditure as a share of the sanctioned amount compared with the overall portfolio,"This work's expenditure as a share of the sanctioned amount is 50.0%. Across the overall portfolio of comparable-stage works, this is lower than typical (around the 11.4th percentile).","This work has been recorded as completed. Extreme values relative to the overall dataset warrant a look, though several MPLADS ratios cluster tightly around typical values — which can make even modest real-world differences appear statistically extreme.",1. Review the flagged figure against supporting documentation. | 2. Compare against comparable works before concluding the value is unusual.,The parliamentary term for this work's record could not be determined.,200000.0,200000.0,100000.0,0.5,1.0,expenditure as a share of the sanctioned amount,"same work category, state, and constituency",61.0,1.0,0.7950819672131147,0.2131147540983606,-0.5,"This work: 50.0%. Comparable works (same work category, state, and constituency, n=61): median 100.0%, mean 79.5%. That is 50.0 percentage points below the peer median, at the 21.3th percentile among comparable works.",2025-01-05,2026-03-12,2026-08-25,166.0,252.0,-0.3412698412698413,"This work: 166 days. Comparable works (same work category, state, and constituency, n=67): median 252 days, mean 246 days. That is about 0.7× the peer median (below it), at the 21.6th percentile among comparable works.",RULE-015,expenditure_to_sanction_ratio,50.0,3.5,rule_risk_component,35.0,"Recommended amount, sanctioned amount, total expenditure on file.",Recommended on 2025-01-05; sanctioned on 2026-03-12. Work status on file: Physical Inspection.,"Completed on 2026-08-25, with ₹100,000 disbursed at completion.",The parliamentary term for this work's record could not be determined.,Verify flagged figures,1. Review the flagged figure against supporting documentation. | 2. Compare against comparable works before concluding the value is unusual.
WS/MP18095/2025-2026/147401,Kerala,ALAPPUZHA,Normal/Others,"Purchase of a bus for K V Kumaran Vaidyan Memorial UPS, Cheriyazheekkal",IN_PROGRESS,82.25,CRITICAL,Deterministic compliance rule,ML anomaly model (atypical combination of characteristics),Unusual expenditure as a share of the sanctioned amount compared with similar works,"This work's expenditure as a share of the sanctioned amount stands out from comparable works. This work: 3.0%. Comparable works (same work category and state, n=125): median 98.2%, mean 75.7%. That is 95.2 percentage points below the peer median, at the 6.4th percentile among comparable works.","This work is currently in progress (sanctioned, but not yet marked completed). Financial or count anomalies relative to comparable works can have a legitimate explanation (e.g. phased projects, larger scope) but should be confirmed against documentation.",1. Compare this work with peer works of the same category/state/constituency. | 2. Verify the underlying financial/payment documentation.,The parliamentary term for this work's record could not be determined.,2100000.0,2100000.0,63519.0,0.0302471428571428,1.0,expenditure as a share of the sanctioned amount,same work category and state,125.0,0.982235,0.7572282480399657,0.064,-0.9692057981469376,"This work: 3.0%. Comparable works (same work category and state, n=125): median 98.2%, mean 75.7%. That is 95.2 percentage points below the peer median, at the 6.4th percentile among comparable works.",2024-10-22,2025-08-11,,380.0,,,"This work has been in sanctioned/in-progress status for approximately 380 days so far. No official planned/expected completion date is available in the source data, so this is elapsed time, not a delay determination.",RULE-014,exp_sanction_ratio,36.14449832686637,3.5,rule_risk_component,35.0,"Recommended amount, sanctioned amount, total expenditure on file.",Recommended on 2024-10-22; sanctioned on 2025-08-11. Work status on file: Work partially Completed.,Not marked completed; no completion record on file.,The parliamentary term for this work's record could not be determined.,Compare with peer works,1. Compare this work with peer works of the same category/state/constituency. | 2. Verify the underlying financial/payment documentation.
WS/MP18390/2025-2026/176193,Uttar Pradesh,GHAZIPUR,Normal/Others,"Installation of India Mark II Handpump by UP Laghu Udyog Nigam Ltd, Kanpur at the following places- Bhojapur, Baghol, Didohar, Susundi, Bhawari, Rasoolabad, Ruhipur, Sujanpur, Yuvrajpur, Palhipur, Pathkhawaliya, Sonwal, Ruhipur, Gram Bawara, Gram Vidhapara, Gram Bhadaura, Gram Panchayat Barhi, Gram Panchayat Bhadsar, Gram Panchayat Uchaur, Gram Kharbadeeh, Gram Panchayat Bogna, Gram Panchayat Bogna, Gram Bhadsar, Gram Pahetiya, Gram Chakbakar, Gram Panchayat Ferozpur",POST_COMPLETION,80.1111111111111,CRITICAL,Deterministic compliance rule,Peer comparison,Unusual expenditure as a share of the sanctioned amount compared with the overall portfolio,"This work's expenditure as a share of the sanctioned amount is 75.0%. Across the overall portfolio of comparable-stage works, this is lower than typical (around the 18.4th percentile).","This work has been recorded as completed. Extreme values relative to the overall dataset warrant a look, though several MPLADS ratios cluster tightly around typical values — which can make even modest real-world differences appear statistically extreme.",1. Review the flagged figure against supporting documentation. | 2. Compare against comparable works before concluding the value is unusual.,The parliamentary term for this work's record could not be determined.,,1242000.0,931327.0,0.7498607085346216,1.0,expenditure as a share of the sanctioned amount,"same work category, state, and constituency",32.0,0.7496714700751477,0.7749717959232949,0.5625,0.0002524285197287,"This work: 75.0%. Comparable works (same work category, state, and constituency, n=32): median 75.0%, mean 77.5%. That is 0.0 percentage points above the peer median, at the 56.2th percentile among comparable works.",,2025-12-17,2026-02-05,50.0,249.0,-0.7991967871485943,"This work: 50 days. Comparable works (same work category, state, and constituency, n=31): median 249 days, mean 242 days. That is about 0.2× the peer median (below it), at the 8.1th percentile among comparable works.",RULE-015,expenditure_to_sanction_ratio,50.0,3.5,rule_risk_component,31.5,"Sanctioned amount, total expenditure on file.",Sanctioned on 2025-12-17. Work status on file: Work Completed.,"Completed on 2026-02-05, with ₹931,327 disbursed at completion.",The parliamentary term for this work's record could not be determined.,Verify flagged figures,1. Review the flagged figure against supporting documentation. | 2. Compare against comparable works before concluding the value is unusual.
WS/MP18167/2025-2026/228471,Rajasthan,JHUNJHUNU,Normal/Others,For construction work of interlock road and safety wall from the house of Ranveer Kapuriya towards the houses of Jamna Ram Meghwal and Suresh Meghwal in village Dhilsar.,POST_COMPLETION,78.07142857142857,CRITICAL,Peer comparison,Deterministic compliance rule,Notable difference from peer works on total expenditure,"Compared with peer works, this work's total expenditure stands out. This work: ₹48,015. Comparable works (same work category, state, and constituency, n=50): median ₹476,371, mean ₹392,631. That is about 0.1× the peer median (below it), at the 4.0th percentile among comparable works.","This work has been recorded as completed. Although not extreme enough to trigger an automatic compliance rule, this work differs from comparable works on this measure, which contributed to its review priority.",1. Compare this work with peer works of the same category/state/constituency. | 2. Confirm the underlying figures against documentation.,Conflicting values exist across source records for this work; Some contributing source records for this work could not be fully resolved; The parliamentary term for this work's record could not be determined.,,,48015.0,,8.0,total expenditure,"same work category, state, and constituency",50.0,476371.0,392630.94,0.04,-0.89920671073596,"This work: ₹48,015. Comparable works (same work category, state, and constituency, n=50): median ₹476,371, mean ₹392,631. That is about 0.1× the peer median (below it), at the 4.0th percentile among comparable works.",,,2026-02-26,,,,,peer_anomaly_component,expenditure,25.0,,peer_anomaly_component,25.0,Total expenditure on file.,No recommendation/sanction dates on file. Work status on file: not recorded.,"Completed on 2026-02-26, with ₹498,062 disbursed at completion.",Conflicting values exist across source records for this work; Some contributing source records for this work could not be fully resolved; The parliamentary term for this work's record could not be determined.,Compare with peer works,1. Compare this work with peer works of the same category/state/constituency. | 2. Confirm the underlying figures against documentation.
WS/MP249/2024-2025/155358,West Bengal,GHATAL,Normal/Others,High Mast Light,IN_PROGRESS,77.92584964184032,CRITICAL,Deterministic compliance rule,Peer comparison,Unusual total expenditure compared with similar works,"This work's total expenditure stands out from comparable works. This work: ₹272,452. Comparable works (same work category, state, and constituency, n=32): median ₹347,102, mean ₹319,336. That is about 0.8× the peer median (below it), at the 18.8th percentile among comparable works.","This work is currently in progress (sanctioned, but not yet marked completed). Financial or count anomalies relative to comparable works can have a legitimate explanation (e.g. phased projects, larger scope) but should be confirmed against documentation.",1. Compare this work with peer works of the same category/state/constituency. | 2. Verify the underlying financial/payment documentation.,The parliamentary term for this work's record could not be determined.,349000.0,349000.0,272452.0,0.7806647564469914,1.0,total expenditure,"same work category, state, and constituency",32.0,347102.5,319335.5625,0.1875,-0.2150675953068618,"This work: ₹272,452. Comparable works (same work category, state, and constituency, n=32): median ₹347,102, mean ₹319,336. That is about 0.8× the peer median (below it), at the 18.8th percentile among comparable works.",2025-01-20,2025-03-27,,517.0,,,"This work has been in sanctioned/in-progress status for approximately 517 days so far. No official planned/expected completion date is available in the source data, so this is elapsed time, not a delay determination.",RULE-014,expenditure,38.188147470843816,3.5,rule_risk_component,35.0,"Recommended amount, sanctioned amount, total expenditure on file.",Recommended on 2025-01-20; sanctioned on 2025-03-27. Work status on file: Vendor Identification.,Not marked completed; no completion record on file.,The parliamentary term for this work's record could not be determined.,Compare with peer works,1. Compare this work with peer works of the same category/state/constituency. | 2. Verify the underlying financial/payment documentation.
WS/MP300/2026-2027/160821,Odisha,BHUBANESWAR,Normal/Others,"Block-Khordha, Installation of Cold Drinking Water at Shree Shree Balukeswar Dev Temple, GP-Nalipada Arjunpur",IN_PROGRESS,77.09772358669817,CRITICAL,Deterministic compliance rule,Peer comparison,Unusual time from recommendation to sanction compared with the overall portfolio,"This work's time from recommendation to sanction is 582 days. Across the overall portfolio of comparable-stage works, this is higher than typical (around the 99.5th percentile).","This work is currently in progress (sanctioned, but not yet marked completed). Extreme values relative to the overall dataset warrant a look, though several MPLADS ratios cluster tightly around typical values — which can make even modest real-world differences appear statistically extreme.",1. Review the flagged figure against supporting documentation. | 2. Compare against comparable works before concluding the value is unusual.,The parliamentary term for this work's record could not be determined.,100000.0,100000.0,100000.0,1.0,1.0,time from recommendation to sanction,"same work category, state, and constituency",595.0,97.0,150.61344537815123,0.9563025210084034,5.0,"This work: 582 days. Comparable works (same work category, state, and constituency, n=595): median 97 days, mean 151 days. That is about 6.0× the peer median (above it), at the 95.6th percentile among comparable works.",2024-12-22,2026-07-27,,30.0,,,"This work has been in sanctioned/in-progress status for approximately 30 days so far. No official planned/expected completion date is available in the source data, so this is elapsed time, not a delay determination.",RULE-015,days_recommendation_to_sanction,7.1754336114531405,3.5,rule_risk_component,35.0,"Recommended amount, sanctioned amount, total expenditure on file.",Recommended on 2024-12-22; sanctioned on 2026-07-27. Work status on file: Vendor Identification.,Not marked completed; no completion record on file.,The parliamentary term for this work's record could not be determined.,Verify flagged figures,1. Review the flagged figure against supporting documentation. | 2. Compare against comparable works before concluding the value is unusual.
WS/MP18222/2025-2026/171475,Uttar Pradesh,JAUNPUR,Normal/Others,manoj yadav ke makan ke pas,POST_COMPLETION,77.01487249602289,CRITICAL,Deterministic compliance rule,Peer comparison,Unusual time from recommendation to sanction compared with similar works,"This work's time from recommendation to sanction stands out from comparable works. This work: 51 days. Comparable works (same work category, state, and constituency, n=377): median 112 days, mean 88 days. That is about 0.5× the peer median (below it), at the 30.5th percentile among comparable works.","This work has been recorded as completed. Financial or count anomalies relative to comparable works can have a legitimate explanation (e.g. phased projects, larger scope) but should be confirmed against documentation.",1. Compare this work with peer works of the same category/state/constituency. | 2. Verify the underlying financial/payment documentation.,Some contributing source records for this work could not be fully resolved; The parliamentary term for this work's record could not be determined.,20900.0,20900.0,,,,time from recommendation to sanction,"same work category, state, and constituency",377.0,112.0,88.27320954907162,0.3050397877984085,-0.5446428571428571,"This work: 51 days. Comparable works (same work category, state, and constituency, n=377): median 112 days, mean 88 days. That is about 0.5× the peer median (below it), at the 30.5th percentile among comparable works.",2025-04-23,2025-06-13,2026-07-29,411.0,433.0,-0.0508083140877598,"This work: 411 days. Comparable works (same work category, state, and constituency, n=409): median 433 days, mean 413 days. That is about 0.9× the peer median (below it), at the 10.3th percentile among comparable works.",RULE-014,rec_sanction_duration,41.14393632807231,3.5,rule_risk_component,35.0,"Recommended amount, sanctioned amount on file.",Recommended on 2025-04-23; sanctioned on 2025-06-13. Work status on file: Physical Inspection.,"Completed on 2026-07-29, with ₹19,992 disbursed at completion.",Some contributing source records for this work could not be fully resolved; The parliamentary term for this work's record could not be determined.,Compare with peer works,1. Compare this work with peer works of the same category/state/constituency. | 2. Verify the underlying financial/payment documentation.
