recommendation_id,request_id,work_id,suggested_work_type,suggestion_reason,proposed_category,estimated_amount,priority,mp_decision,mp_justification,status,created_at,synthetic
REC-0001,CREQ-0081,,Street lighting,Field-level input from the MP team indicates this work would address a recurring citizen concern.,Street lighting,1800000,LOW,PENDING,Under review by the MP team; no decision recorded yet.,DRAFT,2025-07-09,TRUE
REC-0002,CREQ-0066,,Drainage system,No comparable sanctioned work of this category exists in the immediate area based on the asset registry check.,Drainage system,250000,MEDIUM,PENDING,Under review by the MP team; no decision recorded yet.,DRAFT,2025-08-02,TRUE
REC-0003,CREQ-0032,,Street lighting,No comparable sanctioned work of this category exists in the immediate area based on the asset registry check.,Street lighting,1800000,MEDIUM,APPROVED,Aligns with constituency development priorities; recommended for further processing.,DRAFT,2025-07-20,TRUE
REC-0004,CREQ-0125,,Bus shelter,No comparable sanctioned work of this category exists in the immediate area based on the asset registry check.,Bus shelter,600000,HIGH,PENDING,Under review by the MP team; no decision recorded yet.,DRAFT,2025-07-21,TRUE
REC-0005,CREQ-0048,,Bus shelter,Citizen suggestion frequency and severity for this need category in the area support prioritising this work.,Bus shelter,400000,MEDIUM,APPROVED,Aligns with constituency development priorities; recommended for further processing.,SUBMITTED,2025-08-03,TRUE
REC-0006,CREQ-0063,,Sports facility,Field-level input from the MP team indicates this work would address a recurring citizen concern.,Sports facility,250000,LOW,APPROVED,Aligns with constituency development priorities; recommended for further processing.,DRAFT,2025-09-16,TRUE
REC-0007,CREQ-0100,,Community hall,No comparable sanctioned work of this category exists in the immediate area based on the asset registry check.,Community hall,150000,MEDIUM,PENDING,Under review by the MP team; no decision recorded yet.,DRAFT,2025-10-15,TRUE
REC-0008,CREQ-0031,,Solar street lighting,No comparable sanctioned work of this category exists in the immediate area based on the asset registry check.,Solar street lighting,250000,LOW,APPROVED,Aligns with constituency development priorities; recommended for further processing.,SUBMITTED,2025-10-03,TRUE
REC-0009,CREQ-0059,,Bridge / culvert repair,No comparable sanctioned work of this category exists in the immediate area based on the asset registry check.,Bridge / culvert repair,1800000,HIGH,DEFERRED,"Sound need, but deferred pending budget availability in the current cycle.",DRAFT,2025-10-13,TRUE
REC-0010,CREQ-0055,,Public library,No comparable sanctioned work of this category exists in the immediate area based on the asset registry check.,Public library,600000,LOW,PENDING,Under review by the MP team; no decision recorded yet.,DRAFT,2025-10-13,TRUE
REC-0011,CREQ-0092,,Street lighting,No comparable sanctioned work of this category exists in the immediate area based on the asset registry check.,Street lighting,600000,HIGH,PENDING,Under review by the MP team; no decision recorded yet.,DRAFT,2025-11-06,TRUE
REC-0012,CREQ-0085,,Handpump / borewell installation,The need aligns with an underserved category identified during MP team review of pending suggestions.,Handpump / borewell installation,850000,LOW,DEFERRED,"Sound need, but deferred pending budget availability in the current cycle.",SUBMITTED,2025-11-07,TRUE
REC-0013,CREQ-0047,,Street lighting,Citizen suggestion frequency and severity for this need category in the area support prioritising this work.,Street lighting,150000,LOW,APPROVED,Aligns with constituency development priorities; recommended for further processing.,SUBMITTED,2025-12-05,TRUE
